District,Year,Season,Crop,Temperature_Avg,Temperature_Min,Temperature_Max,Rainfall,Humidity,N,P,K,pH,Organic_Carbon,NDVI_Peak,Yield,Disease_Occurred
Anand,2010,Rabi,Rapeseed &Mustard,27.79991781,8.71,48.47,1336.786458,56.33594521,31.21313636,105.9199545,146.7806818,6.118598929,0.623106923,0.748290647,1.55,0
Anand,2010,Rabi,Tobacco,27.79991781,8.71,48.47,1336.786458,56.33594521,31.21313636,105.9199545,146.7806818,6.118598929,0.623106923,0.748290647,1.99,0
Anand,2010,Rabi,Wheat,27.79991781,8.71,48.47,1336.786458,56.33594521,31.21313636,105.9199545,146.7806818,6.118598929,0.623106923,0.748290647,2.65,0
Anand,2010,Summer,Bajra,27.79991781,8.71,48.47,1336.786458,56.33594521,31.62913636,49.88345455,30.00168182,6.704581177,0.628099321,0.748290647,2.79,0
Anand,2010,Summer,Groundnut,27.79991781,8.71,48.47,1336.786458,56.33594521,31.21313636,105.9199545,146.7806818,6.118598929,0.623106923,0.748290647,1.71,0
Anand,2010,Summer,Moong(Green Gram),27.79991781,8.71,48.47,1336.786458,56.33594521,31.21313636,105.9199545,146.7806818,6.118598929,0.623106923,0.748290647,0.56,0
Anand,2010,Summer,Rice,27.79991781,8.71,48.47,1336.786458,56.33594521,69.62163636,49.60395455,42.76768182,6.440874122,0.763982177,0.748290647,2.73,0
Anand,2010,Whole Year,Banana,27.79991781,8.71,48.47,1336.786458,56.33594521,82.84263636,71.98345455,49.38468182,6.15384859,0.804515167,0.748290647,76.93,0
Anand,2010,Whole Year,Dry chillies,27.79991781,8.71,48.47,1336.786458,56.33594521,31.21313636,105.9199545,146.7806818,6.118598929,0.623106923,0.748290647,1.1,0
Anand,2010,Whole Year,Garlic,27.79991781,8.71,48.47,1336.786458,56.33594521,31.21313636,105.9199545,146.7806818,6.118598929,0.623106923,0.748290647,6,0
Anand,2010,Whole Year,Guar seed,27.79991781,8.71,48.47,1336.786458,56.33594521,31.21313636,105.9199545,146.7806818,6.118598929,0.623106923,0.748290647,1,0
Anand,2010,Whole Year,Onion,27.79991781,8.71,48.47,1336.786458,56.33594521,31.21313636,105.9199545,146.7806818,6.118598929,0.623106923,0.748290647,23,0
Anand,2010,Whole Year,Potato,27.79991781,8.71,48.47,1336.786458,56.33594521,31.21313636,105.9199545,146.7806818,6.118598929,0.623106923,0.748290647,16.9,0
Banaskantha,2010,Kharif,Arhar/Tur,26.49257534,8.11,46.73,1432.522697,49.81164384,31.16763636,62.70145455,30.04068182,6.030531695,0.628674965,0.772665799,1.23,0
Banaskantha,2010,Kharif,Bajra,26.49257534,8.11,46.73,1432.522697,49.81164384,31.62913636,49.88345455,30.00168182,6.704581177,0.635587958,0.772665799,0.8,0
Banaskantha,2010,Kharif,Castor seed,26.49257534,8.11,46.73,1432.522697,49.81164384,31.21313636,105.9199545,146.7806818,6.118598929,0.63059556,0.772665799,2.37,0
Banaskantha,2010,Kharif,Cotton(lint),26.49257534,8.11,46.73,1432.522697,49.81164384,94.24363636,48.73295455,29.56618182,6.757557095,0.853679189,0.772665799,3.51,0
Banaskantha,2010,Kharif,Groundnut,26.49257534,8.11,46.73,1432.522697,49.81164384,31.21313636,105.9199545,146.7806818,6.118598929,0.63059556,0.772665799,1.32,0
Banaskantha,2010,Kharif,Jowar,26.49257534,8.11,46.73,1432.522697,49.81164384,68.23713636,50.16295455,29.71568182,6.323691342,0.764281408,0.772665799,0.43,0
Banaskantha,2010,Kharif,Maize,26.49257534,8.11,46.73,1432.522697,49.81164384,68.23713636,50.16295455,29.71568182,6.323691342,0.764281408,0.772665799,2.2,0
Banaskantha,2010,Kharif,Moong(Green Gram),26.49257534,8.11,46.73,1432.522697,49.81164384,31.21313636,105.9199545,146.7806818,6.118598929,0.63059556,0.772665799,0.75,0
Banaskantha,2010,Kharif,Moth,26.49257534,8.11,46.73,1432.522697,49.81164384,31.62913636,49.88345455,30.00168182,6.704581177,0.635587958,0.772665799,0.63,0
Banaskantha,2010,Kharif,Other Cereals,26.49257534,8.11,46.73,1432.522697,49.81164384,31.21313636,105.9199545,146.7806818,6.118598929,0.63059556,0.772665799,0.67,0
Banaskantha,2010,Kharif,Other Kharif pulses,26.49257534,8.11,46.73,1432.522697,49.81164384,31.21313636,105.9199545,146.7806818,6.118598929,0.63059556,0.772665799,0.5,0
